路口序号,路口名称,开始时间,结束时间,车流总量,驶入总数,驶出总数
001,朝天宫街道,2022-09-29 16:14:57,2022-09-29 16:15:02,57,57,0
001,朝天宫街道,2022-09-29 16:15:02,2022-09-29 16:15:07,56,20,21
001,朝天宫街道,2022-09-29 16:15:07,2022-09-29 16:15:12,41,11,26
001,朝天宫街道,2022-09-29 16:15:12,2022-09-29 16:15:17,35,10,16
001,朝天宫街道,2022-09-29 16:15:17,2022-09-29 16:15:22,38,12,9
001,朝天宫街道,2022-09-29 16:15:22,2022-09-29 16:15:27,35,9,12
001,朝天宫街道,2022-09-29 16:15:27,2022-09-29 16:15:32,30,4,9
002,新街口,2022-09-29 15:59:57,2022-09-29 15:59:57,22,22,0
002,新街口,2022-09-29 15:59:57,2022-09-29 16:00:02,53,31,0
002,新街口,2022-09-29 16:00:02,2022-09-29 16:00:07,43,6,16
002,新街口,2022-09-29 16:00:07,2022-09-29 16:00:12,32,2,13
002,新街口,2022-09-29 16:00:12,2022-09-29 16:00:17,25,3,10
002,新街口,2022-09-29 16:00:17,2022-09-29 16:00:22,29,9,5
002,新街口,2022-09-29 16:00:22,2022-09-29 16:00:27,26,2,5
004,赛虹桥街道,2022-09-29 16:01:57,2022-09-29 16:02:02,42,42,0
007,西善桥街道,2022-09-29 16:04:57,2022-09-29 16:05:02,31,31,0
008,洪武路街道,2022-09-29 16:05:57,2022-09-29 16:06:02,34,34,0
008,洪武路街道,2022-09-29 16:06:02,2022-09-29 16:06:07,27,3,10
008,洪武路街道,2022-09-29 16:06:07,2022-09-29 16:06:12,23,2,6
004,赛虹桥街道,2022-09-29 16:01:57,2022-09-29 16:02:02,42,42,0
011,八卦洲街道,2022-09-29 16:08:57,2022-09-29 16:08:57,21,21,0
010,仙林街道,2022-09-29 16:07:57,2022-09-29 16:08:02,36,36,0
010,仙林街道,2022-09-29 16:08:02,2022-09-29 16:08:07,39,17,14
010,仙林街道,2022-09-29 16:08:07,2022-09-29 16:08:12,30,4,13
010,仙林街道,2022-09-29 16:08:12,2022-09-29 16:08:17,29,5,6
010,仙林街道,2022-09-29 16:08:17,2022-09-29 16:08:22,25,7,11
010,仙林街道,2022-09-29 16:08:22,2022-09-29 16:08:27,32,14,7
012,禄口街道,2022-09-29 16:09:57,2022-09-29 16:10:02,33,33,0
012,禄口街道,2022-09-29 16:10:02,2022-09-29 16:10:07,32,7,8
012,禄口街道,2022-09-29 16:10:07,2022-09-29 16:10:12,32,15,15
012,禄口街道,2022-09-29 16:10:12,2022-09-29 16:10:17,32,11,11
012,禄口街道,2022-09-29 16:10:17,2022-09-29 16:10:22,24,3,11
013,江宁街道,2022-09-29 16:10:57,2022-09-29 16:10:57,18,18,0
013,江宁街道,2022-09-29 16:10:57,2022-09-29 16:11:02,36,18,0
013,江宁街道,2022-09-29 16:11:02,2022-09-29 16:11:17,32,4,8
