车牌号,进入时间,离开时间
豫BDE206V,2022-09-29 16:15:09,2022-09-29 16:08:31
浙BDK881,2022-09-29 16:15:01,2022-09-29 16:15:10
浙BDE2061,2022-09-29 16:14:59,2022-09-29 16:10:09
浙BP1829,2022-09-29 16:14:57,2022-09-29 16:10:22
浙BPG860,2022-09-29 16:14:57,2022-09-29 16:10:22
浙BDK881,2022-09-29 16:14:57,2022-09-29 16:10:22
浙BR3H65,2022-09-29 16:14:57,2022-09-29 16:10:05
浙B368WT,2022-09-29 16:14:57,2022-09-29 16:10:22
湘B5F9U16,2022-09-29 16:14:57,2022-09-29 16:10:02
津BPT37B,2022-09-29 16:10:57,2022-09-29 16:11:21
浙BJD017,2022-09-29 16:02:01,2022-09-29 16:10:02
浙JZ33A1,2022-09-29 16:01:57,2022-09-29 16:11:21
浙JDP32A,2022-09-29 16:01:57,2022-09-29 16:09:01
冀B1A6X0,2022-09-29 16:00:25,2022-09-29 16:00:30
湘99943Q,2022-09-29 15:59:57,2022-09-29 16:00:01
赣FWJAE港,2022-09-29 15:59:57,2022-09-29 15:59:58
湘DL9891,2022-09-29 15:59:57,2022-09-29 16:00:21
粤CZJ901,2022-09-29 15:59:57,2022-09-29 16:00:30
浙B3S65J,2022-09-29 15:59:57,2022-09-29 16:00:05
